PT1;1977;400;0,79;5,32;;
PT2;1969;630;1,09;7,51;;
PT3;1969;400;0,79;5,32;;
PT4;1969;400;0,79;5,32;;
PT5;1977;250;0,57;3,74;;
PT6;1964;100;0,30;1,87;;
PT7;1981;400;0,80;5,33;;
PT8;1976;400;0,80;5,33;;
PT9;1972;250;0,57;3,74;;
PT10;1976;250;0,57;3,74;;
PT11;1977;400;0,80;5,33;;
PT12;1978;250;0,57;3,74;;
PT13;1985;250;0,57;3,74;;
PT14;1977;250;0,57;3,74;;
PT15;1968;160;0,42;2,67;;
PT16;1982;400;0,80;5,33;;
PT17;1977;250;0,57;3,74;;
